Time (s)	Real (E)	Complex (E)
-1.4803685069687864e-11	-6.608470911081493e-13	5.919347559038505e-13
-1.4786688875571876e-11	-1.726151815755114e-13	8.553177569834022e-14
-1.4769692681455888e-11	5.301968089875858e-13	5.338514606759148e-13
-1.47526964873399e-11	-1.5904564241207088e-13	-7.426912079644017e-14
-1.4735700293223913e-11	-4.036641318292387e-13	4.506769932820498e-14
-1.4718704099107925e-11	-3.760609705322258e-13	-3.930118271463252e-14
-1.4701707904991937e-11	-1.4250680070995657e-13	-6.044047818397728e-13
-1.468471171087595e-11	8.011948602488648e-13	-3.6412026512005684e-14
-1.466771551675996e-11	3.4445071600384546e-13	6.149364783617851e-13
-1.4650719322643973e-11	-7.843155260792779e-13	4.3224918328710213e-13
-1.4633723128527985e-11	-9.643555977166312e-14	2.2291689662505262e-14
-1.4616726934411997e-11	4.840658790391566e-13	5.203204992688239e-13
-1.459973074029601e-11	-2.3911608347554e-13	-1.391932817096757e-13
-1.458273454618002e-11	-3.6904448877428277e-13	2.19943959103021e-13
-1.4565738352064034e-11	-3.8699761027123424e-13	-4.0684008554381336e-14
-1.4548742157948046e-11	-8.266279687587891e-14	-6.050967430015165e-13
-1.4531745963832058e-11	8.329396312744693e-13	1.7562081760751362e-14
-1.451474976971607e-11	1.380025458763223e-13	5.532548904089816e-13
-1.4497753575600082e-11	-8.562557174739713e-13	2.85147639648043e-13
-1.4480757381484094e-11	5.652820794723698e-15	-1.6213270193255235e-14
-1.4463761187368106e-11	3.988901100723297e-13	4.679548781896825e-13
-1.4446764993252118e-11	-3.020400893776474e-13	-1.579544237072883e-13
-1.442976879913613e-11	-3.333309749196655e-13	3.8521206221665556e-13
-1.4412772605020143e-11	-3.7950178971583624e-13	-8.34958749315612e-14
-1.4395776410904155e-11	9.137992553843939e-16	-5.549041863082078e-13
-1.4378780216788167e-11	7.714452449410856e-13	3.925676550289401e-14
-1.4361784022672179e-11	-6.552612655129849e-14	4.557012755758571e-13
-1.4344787828556191e-11	-8.607063970942861e-13	1.8341911344545849e-13
-1.4327791634440203e-11	1.1417009614958586e-13	-3.20378755875631e-14
-1.4310795440324215e-11	2.709141068270049e-13	3.9115068262425077e-13
-1.4293799246208227e-11	-3.4440824322906467e-13	-1.2898701270807092e-13
-1.427680305209224e-11	-3.0365294131195765e-13	4.983967858890906e-13
-1.4259806857976252e-11	-3.4035547117488424e-13	-1.4785594369670968e-13
-1.4242810663860264e-11	7.927716656229683e-14	-4.535861625361981e-13
-1.4225814469744276e-11	6.2845082231724e-13	2.960918830376299e-15
-1.4208818275628288e-11	-2.314614146225197e-13	3.4986853755601924e-13
-1.41918220815123e-11	-7.956338064428591e-13	1.4774991342516002e-13
-1.4174825887396312e-11	2.0022840705416275e-13	-3.0347548815582045e-14
-1.4157829693280324e-11	1.1116050311185017e-13	3.071693425118534e-13
-1.4140833499164336e-11	-3.672220697347823e-13	-6.704459687260844e-14
-1.4123837305048348e-11	-2.814180419311285e-13	5.360340242208889e-13
-1.410684111093236e-11	-2.6280775504363335e-13	-2.0671293296930963e-13
-1.4089844916816373e-11	1.278468241170531e-13	-3.205685020358274e-13
-1.4072848722700385e-11	4.3548746919873685e-13	-9.796962280986537e-14
-1.4055852528584397e-11	-3.3533796071074e-13	2.6873337841799636e-13
-1.4038856334468409e-11	-6.762249118584857e-13	1.81375740846069e-13
-1.4021860140352421e-11	2.370769170846665e-13	-1.8046224669859068e-14
-1.4004863946236433e-11	-5.593800267252311e-14	2.3147649755464437e-13
-1.3987867752120445e-11	-3.762505119987022e-13	4.036674603982199e-15
-1.3970871558004457e-11	-2.619873036875972e-13	4.981027562820391e-13
-1.395387536388847e-11	-1.5073316889927335e-13	-2.3517677622854145e-13
-1.3936879169772482e-11	1.3515912494794265e-13	-1.8929394114708056e-13
-1.3919882975656494e-11	2.3310867130388924e-13	-2.469440920680707e-13
-1.3902886781540506e-11	-3.68424908720149e-13	2.3867284632154933e-13
-1.3885890587424518e-11	-5.32849851728166e-13	2.703938841988718e-13
-1.386889439330853e-11	2.1283205236682287e-13	-2.1934024000200695e-15
-1.3851898199192542e-11	-2.0047441060251184e-13	1.7350322257911438e-13
-1.3834902005076554e-11	-3.8017380980008865e-13	6.15166004561065e-14
-1.3817905810960566e-11	-2.3838077584602117e-13	4.034928911675023e-13
-1.3800909616844579e-11	-1.7853079353139815e-14	-2.1849040736530994e-13
-1.378391342272859e-11	1.0537995552882922e-13	-9.512342411358388e-14
-1.3766917228612603e-11	5.901611432132553e-14	-4.0945181675613134e-13
-1.3749921034496615e-11	-3.395325849522555e-13	2.7050864049960196e-13
-1.3732924840380627e-11	-4.032068929715468e-13	3.8893576125507635e-13
-1.3715928646264639e-11	1.3800128935745575e-13	1.1718566193353156e-14
-1.3698932452148651e-11	-2.9871886236949617e-13	1.3477457592817009e-13
-1.3681936258032663e-11	-3.872451996103176e-13	9.243826930284874e-14
-1.3664940063916675e-11	-2.0617674566115256e-13	2.808296057616423e-13
-1.3647943869800688e-11	1.1747100597284803e-13	-1.5648350510640948e-13
-1.36309476756847e-11	5.412074568094451e-14	-6.163284515228641e-14
-1.3613951481568712e-11	-6.115857105604561e-14	-5.455359148284754e-13
-1.3596955287452724e-11	-2.724612546035298e-13	3.56829775592076e-13
-1.3579959093336736e-11	-3.204146157114495e-13	5.062737543468954e-13
-1.3562962899220748e-11	4.358858332742313e-14	2.1119933200080182e-14
-1.354596670510476e-11	-3.4284745261111525e-13	1.0977456546198739e-13
-1.3528970510988772e-11	-4.022422257595012e-13	9.728949327806975e-14
-1.3511974316872784e-11	-1.666569928962165e-13	1.5818082162287002e-13
-1.3494978122756796e-11	2.382904275755214e-13	-6.294560418734266e-14
-1.3477981928640809e-11	1.179207716781518e-15	-9.187732240283556e-14
-1.346098573452482e-11	-1.1840778027223536e-13	-6.230895514689255e-13
-1.3443989540408833e-11	-1.9957370761541364e-13	4.753732888028525e-13
-1.3426993346292845e-11	-3.0212682559792555e-13	5.945814395950892e-13
-1.3409997152176857e-11	-3.019880472976629e-14	2.6687182085667934e-14
-1.3393000958060869e-11	-3.44669062526548e-13	8.989752532194697e-14
-1.3376004763944881e-11	-4.246085355639395e-13	8.739446794459135e-14
-1.3359008569828893e-11	-1.2575153279331157e-13	5.635108952905081e-14
-1.3342012375712905e-11	3.3328935212668435e-13	3.945222728551693e-14
-1.3325016181596918e-11	-3.647695781290719e-14	-1.674688543097129e-13
-1.330801998748093e-11	-1.200056840053638e-13	-6.269505087711972e-13
-1.3291023793364942e-11	-1.531130645817217e-13	5.963501847541311e-13
-1.3274027599248954e-11	-3.44663146592224e-13	6.34316164230761e-13
-1.3257031405132966e-11	-4.979657041198936e-14	3.1261767493361456e-14
-1.3240035211016978e-11	-3.315079325608717e-13	6.852239556768843e-14
-1.322303901690099e-11	-4.487613562552882e-13	7.806087509329907e-14
-1.3206042822785002e-11	-9.040364710960257e-14	-1.3787457054501959e-14
-1.3189046628669014e-11	3.9751499222530796e-13	1.2699276846733017e-13
-1.3172050434553027e-11	-4.8867417956027715e-14	-2.562789428953334e-13
-1.3155054240437039e-11	-8.525939450046743e-14	-5.612923955083223e-13
