Time (s)	Real (E)	Complex (E)
-2.6904975280271243e-11	-1.5771039172462781e-13	-5.165321663102242e-13
-2.6887979086155255e-11	-1.654012498357942e-13	-3.1975459048440545e-13
-2.6870982892039267e-11	-5.115068681905232e-14	-7.449272405342183e-14
-2.685398669792328e-11	6.746683379597717e-14	1.1647347242477548e-13
-2.6836990503807292e-11	8.760107847460285e-14	2.7257039024110827e-13
-2.6819994309691304e-11	2.070274835575635e-15	3.6596493888966253e-13
-2.6802998115575316e-11	-6.814002998459065e-14	3.697868641173636e-13
-2.6786001921459328e-11	-2.4681931263410944e-14	3.346288027120053e-13
-2.676900572734334e-11	1.190465888485854e-13	2.641171959450845e-13
-2.6752009533227352e-11	2.7598290343949853e-13	1.2931285326854957e-13
-2.6735013339111364e-11	3.34019343347135e-13	-5.204865649857073e-14
-2.6718017144995376e-11	2.2359572604057373e-13	-2.634205273403608e-13
-2.670102095087939e-11	-1.2601259320109092e-14	-4.550133891873509e-13
-2.66840247567634e-11	-2.049768005293807e-13	-5.022833468634392e-13
-2.6667028562647413e-11	-2.2225411270513068e-13	-3.7246576853057177e-13
-2.6650032368531425e-11	-9.534600419278915e-14	-1.8480641287459366e-13
-2.6633036174415437e-11	6.191715055355724e-14	-1.2467959532994922e-15
-2.661603998029945e-11	1.2451354688939753e-13	2.0059436033202946e-13
-2.659904378618346e-11	4.873629011035263e-14	3.5303102775386177e-13
-2.6582047592067473e-11	-5.253349384396642e-14	3.869852652411475e-13
-2.6565051397951485e-11	-5.0631958983002075e-14	3.406801824787388e-13
-2.6548055203835497e-11	7.109326074173724e-14	2.475307411639551e-13
-2.653105900971951e-11	2.3089624983381153e-13	1.2531900577591716e-13
-2.6514062815603522e-11	2.9881397713317575e-13	-4.099310028288796e-15
-2.6497066621487534e-11	1.9152877953279905e-13	-1.7595264840029529e-13
-2.6480070427371546e-11	-4.80017238151254e-14	-3.7874044444466406e-13
-2.6463074233255558e-11	-2.473646944181866e-13	-4.769012467655619e-13
-2.644607803913957e-11	-2.691891248930335e-13	-4.1539204127262903e-13
-2.6429081845023582e-11	-1.3166594640563737e-13	-2.881071703644276e-13
-2.6412085650907594e-11	5.663695623143784e-14	-1.2335965922380967e-13
-2.6395089456791606e-11	1.5433139049622792e-13	1.083870034933779e-13
-2.637809326267562e-11	8.962796028597413e-14	3.1275347083612374e-13
-2.636109706855963e-11	-3.3955472198376356e-14	3.831899095443411e-13
