Time (s)	Real (E)	Complex (E)
3.166390964342303e-11	-7.53037486900289e-13	4.079421929794046e-13
3.168090583753902e-11	-1.1843524303558548e-12	5.867921766858612e-13
3.169790203165501e-11	-9.804423079674935e-13	1.0077441528995022e-12
3.1714898225770996e-11	-3.7738930095777616e-13	1.3322778651826782e-12
3.1731894419886984e-11	-1.5547048562791387e-13	1.2999545541818107e-12
3.174889061400297e-11	-4.993698602097497e-13	1.0187530070619315e-12
3.176588680811896e-11	-7.616567624829215e-13	4.758005839429259e-13
3.178288300223495e-11	-7.033952819017661e-13	-2.9767850238280876e-13
3.1799879196350935e-11	-6.229271837018711e-13	-8.774349513361019e-13
3.1816875390466923e-11	-5.192258352216703e-13	-1.03153855609327e-12
3.183387158458291e-11	-1.4216405668520786e-13	-8.609125434574463e-13
3.18508677786989e-11	2.867235602771391e-13	-3.052805577771356e-13
3.186786397281489e-11	1.5613900444813656e-13	2.8952741804694793e-13
3.1884860166930875e-11	-5.771483365747602e-13	3.9685435809848786e-13
3.190185636104686e-11	-1.2248931275318145e-12	3.548649637140981e-13
3.191885255516285e-11	-1.2027280339420136e-12	6.111471220234776e-13
3.193584874927884e-11	-6.473069161776884e-13	8.859751467922519e-13
3.1952844943394827e-11	-3.1888335419279664e-13	9.063366179840022e-13
3.1969841137510814e-11	-4.863353035317912e-13	7.437957641790191e-13
3.19868373316268e-11	-6.063313500159211e-13	3.339153785763037e-13
3.200383352574279e-11	-4.801332299620775e-13	-3.164192189288669e-13
3.202082971985878e-11	-4.2135125935785795e-13	-7.610352859216913e-13
3.2037825913974766e-11	-3.688813029177852e-13	-7.961065275139458e-13
3.2054822108090754e-11	1.516838433199124e-14	-6.271001727295235e-13
3.207181830220674e-11	5.081459618784996e-13	-1.7553017634706394e-13
3.208881449632273e-11	4.4772996413393715e-13	3.260999030893048e-13
3.210581069043872e-11	-3.002403641438066e-13	3.2403079775357253e-13
3.2122806884554705e-11	-1.09033053753515e-12	1.2952557609828747e-13
3.2139803078670693e-11	-1.2604419983792254e-12	2.613089258471208e-13
3.215679927278668e-11	-8.362646610940236e-13	4.776537099644049e-13
3.217379546690267e-11	-4.907511008166054e-13	5.167449209724145e-13
3.219079166101866e-11	-5.235776164778488e-13	4.4941518689106084e-13
3.2207787855134645e-11	-4.904496982494703e-13	1.7148426156808083e-13
3.222478404925063e-11	-2.6105710792578663e-13	-3.4894961038223524e-13
3.224178024336662e-11	-2.0720961326174768e-13	-6.588331498770171e-13
3.225877643748261e-11	-2.354063843693724e-13	-5.798169610996983e-13
3.2275772631598596e-11	1.0298500343063115e-13	-4.327540820493877e-13
3.2292768825714584e-11	6.340000059709038e-13	-1.3526811121978476e-13
3.230976501983057e-11	6.798876042646895e-13	2.4166355789512035e-13
3.232676121394656e-11	1.3695383753473601e-14	1.6808211591283188e-13
3.234375740806255e-11	-8.240580823801078e-13	-9.666501652533353e-14
3.2360753602178536e-11	-1.1551452449386695e-12	-1.3595276694053795e-14
3.2377749796294524e-11	-8.993702652843767e-13	1.7493585550370178e-13
3.239474599041051e-11	-6.009936284739243e-13	2.0771100943336062e-13
3.24117421845265e-11	-5.510130602089675e-13	1.9043230562276144e-13
3.242873837864249e-11	-3.926204914401809e-13	2.392334852402403e-14
3.2445734572758475e-11	-6.308831477646665e-14	-3.71610620215149e-13
3.2462730766874463e-11	-3.296866758556938e-15	-5.727415233278258e-13
3.247972696099045e-11	-1.182369167702056e-13	-4.0947519487751886e-13
3.249672315510644e-11	1.372403981159489e-13	-2.9423252683331496e-13
3.251371934922243e-11	6.640306657889406e-13	-1.675273125276567e-13
3.2530715543338415e-11	8.087031743752247e-13	6.682324844098368e-14
3.25477117374544e-11	2.7595975161847694e-13	-5.505113442866559e-14
3.256470793157039e-11	-5.269119817340904e-13	-3.292774336232351e-13
3.258170412568638e-11	-9.552496738538502e-13	-2.2153794062376012e-13
3.2598700319802366e-11	-8.427907476780062e-13	-7.601026301374882e-15
3.2615696513918354e-11	-6.000708740715691e-13	1.0635813295494732e-14
3.263269270803434e-11	-4.966213749266594e-13	-7.184276174373293e-15
3.264968890215033e-11	-2.599157337711294e-13	-8.894894463651286e-14
3.266668509626632e-11	1.2545948539618308e-13	-3.619986628677297e-13
3.2683681290382306e-11	1.8490910316553877e-13	-4.923809579628622e-13
3.2700677484498294e-11	1.935910290794879e-15	-2.965688146005749e-13
3.271767367861428e-11	1.67585263473856e-13	-2.096105287034027e-13
3.273466987273027e-11	6.416742300446911e-13	-2.234427175518519e-13
3.275166606684626e-11	8.262011204784175e-13	-1.22390707411543e-13
3.2768662260962245e-11	4.0930145096176206e-13	-2.8470990604717844e-13
3.278565845507823e-11	-3.165840855803099e-13	-5.483697308909798e-13
3.280265464919422e-11	-7.665390032613666e-13	-3.769994538209735e-13
3.281965084331021e-11	-7.194772510417475e-13	-8.795130158539306e-14
3.28366470374262e-11	-4.840219111782197e-13	-7.804849115548695e-14
3.2853643231542185e-11	-3.217919916606231e-13	-1.412699214401264e-13
3.287063942565817e-11	-5.2469558035805153e-14	-1.6702936534873365e-13
3.288763561977416e-11	3.1694280598007605e-13	-3.127709316298371e-13
3.290463181389015e-11	3.501320306907107e-13	-4.008797263477874e-13
3.2921628008006136e-11	1.3460709726934322e-13	-2.280561751559436e-13
3.2938624202122124e-11	2.397106685694704e-13	-1.5589441018124546e-13
3.295562039623811e-11	6.289975933742473e-13	-2.413552180847186e-13
3.29726165903541e-11	7.68515155829359e-13	-2.3630542826379304e-13
3.298961278447009e-11	3.917902526053444e-13	-4.39679255761036e-13
3.3006608978586076e-11	-2.6551805180354924e-13	-7.09638101105328e-13
3.3023605172702064e-11	-6.762434256174931e-13	-4.812990279109338e-13
3.304060136681805e-11	-5.985643805776035e-13	-9.166717249964797e-14
3.305759756093404e-11	-2.9400455362746937e-13	-7.511660674252495e-14
3.307459375505003e-11	-4.5653821475561395e-14	-2.147054377607414e-13
3.3091589949166015e-11	2.228063501354483e-13	-2.1880725007856573e-13
3.3108586143282e-11	4.992811501718085e-13	-2.362272934535561e-13
3.312558233739799e-11	4.669292982359251e-13	-2.865223830809949e-13
3.314257853151398e-11	2.5560592259770673e-13	-1.698807465971774e-13
3.315957472562997e-11	3.54887417413892e-13	-9.52060246032926e-14
3.3176570919745955e-11	6.651308531560856e-13	-1.7342379561247712e-13
3.319356711386194e-11	6.98007735348599e-13	-2.1431872685529062e-13
3.321056330797793e-11	2.7480264388226773e-13	-4.594345697919656e-13
3.322755950209392e-11	-3.5577318007352963e-13	-7.673436556232117e-13
3.3244555696209906e-11	-7.01040929054259e-13	-5.222638840362763e-13
3.3261551890325894e-11	-5.242297630394731e-13	-3.9311878104602875e-14
3.327854808444188e-11	-9.172352853379975e-14	1.801120451646236e-15
3.329554427855787e-11	2.6584825240916356e-13	-2.2247699723842437e-13
3.331254047267386e-11	5.138731286884099e-13	-2.447598602207102e-13
3.3329536666789846e-11	6.376275008803637e-13	-1.5531756520259124e-13
3.3346532860905834e-11	4.989242318069535e-13	-1.55866666861039e-13
3.336352905502182e-11	3.1299763878807044e-13	-9.163820833736866e-14
3.338052524913781e-11	4.602550186194452e-13	2.6307924768332365e-15
3.33975214432538e-11	7.360350076308987e-13	-1.0778720911350065e-14
3.3414517637369785e-11	6.656900748240451e-13	-5.66336863271555e-14
3.343151383148577e-11	1.5591222101366606e-13	-3.388099361984877e-13
3.344851002560176e-11	-4.861944529369347e-13	-7.039492979823284e-13
3.346550621971775e-11	-7.751476294621615e-13	-4.888169836790521e-13
3.348250241383374e-11	-4.912019152444835e-13	5.295564709492881e-14
3.3499498607949725e-11	7.164419883408206e-14	1.3338267454372125e-13
3.351649480206571e-11	5.336680477382283e-13	-1.556597641835715e-13
3.35334909961817e-11	7.543109719631404e-13	-2.2890153698650723e-13
3.355048719029769e-11	6.991816746845304e-13	-8.383103749122051e-14
3.3567483384413676e-11	4.2500575363692776e-13	-3.2397915686301234e-14
3.3584479578529664e-11	2.622326512706315e-13	7.152123339862764e-15
3.360147577264565e-11	4.827374829896652e-13	1.332015400842642e-13
3.361847196676164e-11	7.826007055471192e-13	2.0493267247615285e-13
